venue_name,city,capacity,capacity_source,retrieved
Adelaide Oval,Adelaide,53500,wikipedia-exact,2026-09-17
Allan Border Field,Brisbane,6500,wikipedia-exact,2026-09-17
Amini Park,Port Moresby,2000,wikipedia-exact,2026-09-17
Arun Jaitley Stadium,Delhi,35200,wikipedia-name,2026-09-17
Bangabandhu National Stadium,Dhaka,360000,wikipedia-exact,2026-09-17
Barabati Stadium,Cuttack,45000,wikipedia-exact,2026-09-17
Bellerive Oval,Hobart,20000,wikipedia-name,2026-09-17
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,50000,wikipedia-exact,2026-09-17
Boland Park,Paarl,10000,wikipedia-exact,2026-09-17
Brabourne Stadium,Mumbai,50000,wikipedia-exact,2026-09-17
Bradman Oval,Bowral,5000,wikipedia-exact,2026-09-17
Brian Lara Stadium,Tarouba,15000,wikipedia-name,2026-09-17
Brisbane Cricket Ground,Brisbane,42000,wikipedia-verified,2026-09-17
Buffalo Park,East London,15000,wikipedia-exact,2026-09-17
Captain Roop Singh Stadium,Gwalior,18000,wikipedia-exact,2026-09-17
Carisbrook,Dunedin,290000,wikipedia-exact,2026-09-17
Civil Service Cricket Club,Belfast,6000,wikipedia-verified,2026-09-17
County Ground,Northampton,6500,wikipedia-exact,2026-09-17
County Ground,Taunton,12500,wikipedia-exact,2026-09-17
Daren Sammy National Cricket Stadium,Gros Islet,13700,wikipedia-verified,2026-09-17
Docklands Stadium,Melbourne,48003,wikipedia-exact,2026-09-17
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,27500,wikipedia-exact,2026-09-17
Dubai International Cricket Stadium,Dubai,25000,wikipedia-exact,2026-09-17
Eden Gardens,Kolkata,68000,wikipedia-exact,2026-09-17
Eden Park,Auckland,42000,wikipedia-exact,2026-09-17
Edgbaston,Birmingham,24803,wikipedia-verified,2026-09-17
Gaddafi Stadium,Lahore,34000,wikipedia-exact,2026-09-17
Galle International Stadium,Galle,35000,wikipedia-exact,2026-09-17
Grace Road,Leicester,6000,wikipedia-exact,2026-09-17
Grand Prairie Stadium,Dallas,15000,wikipedia-name,2026-09-17
Great Barrier Reef Arena,Mackay,10000,wikipedia-exact,2026-09-17
Gymkhana Club Ground,Nairobi,7000,wikipedia-exact,2026-09-17
Hagley Oval,Christchurch,18000,wikipedia-exact,2026-09-17
Harare Sports Club,Harare,10000,wikipedia-exact,2026-09-17
Headingley,Leeds,18350,wikipedia-exact,2026-09-17
Holkar Cricket Stadium,Indore,30000,wikipedia-exact,2026-09-17
Hurstville Oval,Sydney,5000,wikipedia-exact,2026-09-17
Iqbal Stadium,Faisalabad,18000,wikipedia-exact,2026-09-17
Jaffery Sports Club Ground,Nairobi,2000,wikipedia-exact,2026-09-17
Junction Oval,Melbourne,7000,wikipedia-name,2026-09-17
Karen Rolton Oval,Adelaide,5000,wikipedia-exact,2026-09-17
Kennington Oval,London,27500,wikipedia-verified,2026-09-17
Kensington Oval,Bridgetown,11000,wikipedia-exact,2026-09-17
Khan Shaheb Osman Ali Stadium,Fatullah,25000,wikipedia-exact,2026-09-17
Kingsmead,Durban,25000,wikipedia-verified,2026-09-17
Kinrara Academy Oval,Kuala Lumpur,40000,wikipedia-exact,2026-09-17
Lal Bahadur Shastri Stadium,Hyderabad,300000,wikipedia-exact,2026-09-17
Lord's,London,31100,wikipedia-exact,2026-09-17
