venue_display,capacity,capacity_source
Seddon Park,10500,manual
Bay Oval,12000,manual
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),3000,manual
ICC Academy,1000,manual
Warner Park,8000,manual
"County Ground, Bristol",8000,manual
Westpac Stadium,34500,manual
VRA Ground,4500,manual
Basin Reserve,11600,manual
United Cricket Club Ground,3000,manual
Forthill,2000,manual
Saxton Oval,5000,manual
Sinhalese Sports Club Ground,10000,manual
Sportpark Maarschalkerweerd,1500,manual
Diamond Oval,11000,manual
Clontarf Cricket Club Ground,3200,manual
Moosa Cricket Stadium,6000,manual
"County Ground, Derby",9500,manual
Arnos Vale Ground,18000,manual
Central Broward Regional Park Stadium Turf Ground,20000,manual
Castle Avenue,3200,manual
Rajiv Gandhi International Stadium,25000,manual
Reliance Stadium,20000,manual
Grange Cricket Club Ground,5000,manual
Jade Stadium,36500,manual
Himachal Pradesh Cricket Association Stadium,21200,manual
John Davies Oval,19000,manual
"County Ground, Worcester",5500,manual
Hazelaarweg,3500,manual
Coolidge Cricket Ground,5000,manual
Barsapara Cricket Stadium,46000,manual
Bert Sutcliffe Oval,3000,manual
Saurashtra Cricket Association Stadium,28000,manual
JSCA International Stadium Complex,50000,manual
Bulawayo Athletic Club,12000,manual
Green Park,32000,manual
Cazaly's Stadium,13500,manual
"County Ground, Chelmsford",6500,manual
Dr DY Patil Sports Academy,45300,manual
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),3000,manual
Nondescripts Cricket Club Ground,2000,manual
Bangabandhu National Stadium,36000,manual
"County Ground, Hove",6000,manual
MA Aziz Stadium,30000,manual
Marrara Cricket Ground,12000,manual
Bready Cricket Club,3000,manual
Sportpark Westvliet,2000,manual
Kotambi Stadium,40000,manual
"Nehru Stadium, Kochi",60500,manual
Southend Club Cricket Stadium,10000,manual
Desert Springs Cricket Ground,600,manual
Arbab Niaz Stadium,35000,manual
Shahid Kamruzzaman Stadium,15000,manual
Ray Mitchell Oval,7500,manual
Colombo Cricket Club Ground,6000,manual
Chittagong Divisional Stadium,20000,manual
"Nehru Stadium, Guwahati",25000,manual
Shaheed Veer Narayan Singh International Stadium,65000,manual
Welagedara Stadium,10000,manual
Vidarbha Cricket Association Ground,40000,manual
"Nehru Stadium, Margao",19000,manual
Tony Ireland Stadium,10000,manual
Nahar Singh Stadium,25000,manual
City Oval,12000,manual
Greenfield International Stadium,50000,manual
Eden Park Outer Oval,4000,manual
Antigua Recreation Ground,9000,manual
Sportpark Het Schootsveld,1000,manual
Peter Burge Oval,5000,manual
"Nehru Stadium, Pune",25000,manual
Maharani Usharaje Trust Cricket Ground,30000,manual
Carisbrook,29000,manual
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,25000,manual
Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium,9000,manual
Eden Park No 2,4000,manual
Lal Bahadur Shastri Stadium,25000,manual
Mulpani Cricket Ground,4000,manual
P Saravanamuttu Stadium,15000,manual
Keenan Stadium,19000,manual
Sector 16 Stadium,30000,manual
Sheikhupura Stadium,15000,manual
Toronto Cricket,4875,manual
