venue,matches_played,city,likely_country,country,how,confidence
Queen's Park Oval,22,,West Indies,Trinidad and Tobago,REVIEW,LOW
Hazelaarweg,8,,Netherlands,The Netherlands,REVIEW,LOW
P Sara Oval,8,Colombo,India,Sri Lanka,REVIEW,LOW
John Davies Oval,6,,New Zealand,New Zealand,REVIEW,LOW
Sabina Park,5,Kingston,West Indies,Jamaica,REVIEW,LOW
County Ground,4,,Bangladesh,England,REVIEW,LOW
Rajiv Gandhi International Stadium,4,Hyderabad,New Zealand,India,REVIEW,LOW
Castle Avenue,3,Dublin,Bangladesh,Ireland,REVIEW,LOW
The Cooper Associates County Ground,2,Taunton,Australia,England,REVIEW,LOW
Hurstville Oval,2,Sydney,West Indies,Australia,REVIEW,LOW
Observatory Lane,1,Dublin,Pakistan,Ireland,REVIEW,LOW
County Ground,1,,India,England,REVIEW,LOW
Western Australia Cricket Association Ground,1,,India,Australia,REVIEW,LOW
Clontarf Cricket Club Ground,1,,Sri Lanka,Ireland,REVIEW,LOW
Carisbrook,1,Dunedin,South Africa,New Zealand,REVIEW,LOW
YMCA Cricket Club,1,Dublin,Pakistan,Ireland,REVIEW,LOW
Lal Bahadur Shastri Stadium,1,Hyderabad,New Zealand,India,REVIEW,LOW
Davies Park,1,,New Zealand,New Zealand,REVIEW,LOW
Junction Oval,1,Melbourne,New Zealand,Australia,REVIEW,LOW
John Davies Oval,1,Queenstown,Sri Lanka,New Zealand,REVIEW,LOW
The Hills Cricket Club Ground,1,Dublin,South Africa,Ireland,REVIEW,LOW
Westpac Park,1,,India,New Zealand,REVIEW,LOW
The Royal & Sun Alliance County Ground,1,,Zimbabwe,England,REVIEW,LOW
The Vineyard,1,Dublin,New Zealand,Ireland,REVIEW,LOW
Harare Sports Club,127,Harare,Zimbabwe,Zimbabwe,agree,high
Rangiri Dambulla International Stadium,51,Dambulla,Sri Lanka,Sri Lanka,agree,high
R Premadasa Stadium,49,Colombo,Sri Lanka,Sri Lanka,agree,high
Sydney Cricket Ground,49,Sydney,Australia,Australia,agree,high
R Premadasa Stadium,45,,Sri Lanka,Sri Lanka,agree,high
Kennington Oval,42,London,England,England,uk,high
Pallekele International Cricket Stadium,42,Kandy,Sri Lanka,Sri Lanka,agree,high
Shere Bangla National Stadium,42,Dhaka,Bangladesh,Bangladesh,agree,high
County Ground,41,Bristol,England,England,uk,high
Melbourne Cricket Ground,40,Melbourne,Australia,Australia,agree,high
Queens Sports Club,37,Bulawayo,Zimbabwe,Zimbabwe,agree,high
Adelaide Oval,34,Adelaide,Australia,Australia,agree,high
Lord's,34,London,England,England,uk,high
