venue,city,country,how,confidence
7he Sevens Stadium,Dubai,United Arab Emirates,city,HIGH
Achimota Senior Secondary School A Field,Accra,Ghana,city,HIGH
Achimota Senior Secondary School B Field,Accra,Ghana,city,HIGH
Albert Park 1,Suva,Fiji,city,HIGH
Albert Park 2,Suva,Fiji,city,HIGH
Albertslund Cricket Club,Copenhagen,Denmark,city,HIGH
Arundel Castle Cricket Club Ground,Arundel,England,known ground; city was blank,HIGH
Asian Institute of Technology Ground,Bangkok,Thailand,city,HIGH
Ballpark Ground,Graz,Austria,city,HIGH
Banks Field,Prague,Czech Republic,city,HIGH
Bayer Uerdingen Cricket Ground,Krefeld,Germany,city,HIGH
Bayuemas Oval,Kuala Lumpur,Malaysia,city,HIGH
Belgrano Athletic Club Ground,Buenos Aires,Argentina,city,HIGH
Bermuda National Stadium,Hamilton,Bermuda,city,HIGH
Botkyrka Cricket Center,Stockholm,Sweden,city,HIGH
Botswana Cricket Association Oval 1,Gaborone,Botswana,city,HIGH
Botswana Cricket Association Oval 2,Gaborone,Botswana,city,HIGH
Bready,Magheramason,Ireland,same ground as Bready Cricket Club (merged),HIGH
Carrara Oval,Carrara,Australia,known ground; city was blank in one match,HIGH
Centre for Cricket Development Ground,Windhoek,Namibia,city,HIGH
Clayton Panama,Panama City,Panama,city,HIGH
College Field,St Peter Port,Guernsey,city,HIGH
Colts Cricket Club Ground,Colombo,Sri Lanka,city,HIGH
Dreux Sport Cricket Club,Dreux,France,city,HIGH
Ekeberg Cricket Ground 1,Oslo,Norway,city,HIGH
Ekeberg Cricket Ground 2,Oslo,Norway,city,HIGH
Entebbe Cricket Oval,Entebbe,Uganda,city,HIGH
Estonian National Cricket and Rugby Field,Tallinn,Estonia,city,HIGH
Europa Sports Complex,Gibraltar,Gibraltar,city,HIGH
FB Fields,St Clement,Jersey,city,HIGH
Faleata Oval No 2,Apia,Samoa,city,HIGH
GB Oval,Szodliget,Hungary,city,HIGH
GMHBA Stadium,Geelong,Australia,city,HIGH
Gahanga B Ground,Kigali,Rwanda,city (Kigali City -> Kigali),HIGH
